id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,year,state,zip_code,school_type,school_level,charter,funding_status,total_free_reduced_lunch,free_lunch,reduced_lunch,teachers_fte,student_teacher_ratio,total_students,student_membership
100001600143,0.117962466487936,0.445283018867925,0.346494762288477,42820.0,20.4334554334554,0.0669014084507042,2016-2017,DE,19804,Regular School,High,Yes,1.0,493.591686694978,446.86039053218315,46.731296163182726,29.0,19.97,579.0,579.0
100008000024,0.0639844886088221,0.66276459268762,0.767619047619048,89320.0,19.4981684981685,0.112412177985948,2016-2017,DE,19709,Regular School,High,No,0.0,498.98675880606004,453.2500336763786,45.73672513055244,104.0,16.36,1701.0,1701.0
100008000225,0.0564599930723935,0.701864406779661,0.713090418353576,84140.0,19.5543345543346,0.096816114359974,2016-2017,DE,19709,Regular School,High,No,0.0,498.53447894491046,454.54906901979746,43.98540992571514,103.599998474121,15.57,1613.0,1613.0
100017000029,0.0447385003150599,0.69206204379562,0.64128256513026,56500.0,17.7374847374847,0.296960249415433,2016-2017,DE,19958,Regular School,High,No,0.0,502.70894047348946,459.02064305040614,43.68829741551427,104.0,15.74,1637.0,1637.0
100018000040,0.0770135214579659,0.640060240963855,0.834401709401709,54015.0,18.2454212454212,0.262641138929799,2016-2017,DE,19934,Regular School,High,No,0.0,505.73119869338024,462.0694533755258,43.6617452978575,132.699996948242,15.95,2116.0,2116.0
100019000050,0.0801201802704056,0.673491975650249,0.483333333333333,50649.0,17.034188034188,0.425117924528302,2016-2017,DE,19904,Regular School,High,No,0.0,505.0419059371884,461.33301074243593,43.7088951789219,119.269996643066,14.82,1768.0,1768.0
100020000238,0.0750577367205543,0.750750750750751,1.6252428086460025,12825.0,18.3870573870574,0.338928340865074,2016-2017,DE,19711,Regular School,High,No,1.0,502.3017670579356,456.196402155918,46.10536488974444,65.0,16.45,1069.0,1069.0
100020000239,0.0754244364041191,0.616605270614905,0.595445411922304,59861.0,15.5445665445665,0.372116349047141,2016-2017,DE,19702,Regular School,High,No,1.0,498.15540034342484,452.0704542219238,46.08494612325145,46.0,15.96,734.0,734.0
100020000240,0.114201183431953,0.594220349187237,0.672058823529412,62078.0,14.980463980464,0.352800953516091,2016-2017,DE,19713,Regular School,High,No,1.0,500.18570164591154,453.73195030044513,46.45375133655834,75.0,14.4,1080.0,1080.0
100023000209,0.0399305555555556,0.54045643153527,0.840810419681621,61031.0,15.1050061050061,0.35893918609968,2016-2017,DE,19720,Regular School,High,No,1.0,507.88295853781506,463.66898743137915,44.21397107523784,132.0,17.4,2297.0,2297.0
100027000080,0.092850049652433,0.552924117931368,0.433151432469304,55347.0,17.8522588522588,0.171474358974359,2016-2017,DE,19940,Regular School,High,No,0.0,494.4230616847011,448.56037917593335,45.86268252266583,36.0,17.42,627.0,627.0
100068000085,0.107710189848896,0.465486725663717,0.513728323699422,46644.0,18.008547008547,0.304395604395604,2016-2017,DE,19945,Regular School,High,No,1.0,499.5691828170731,454.3458379389806,45.22334486367367,75.0,12.91,968.0,968.0
100068000090,0.0533126293995859,0.415671870217325,0.618326693227092,59500.0,16.0720390720391,0.447068403908795,2016-2017,DE,19947,Regular School,High,No,1.0,505.8947027965937,461.85525538292507,44.03944738634023,127.0,14.34,1821.0,1821.0
100079000095,0.139567835635848,0.53248136315229,0.508990318118949,40625.0,17.1782661782662,0.389887640449438,2016-2017,DE,19943,Regular School,High,No,1.0,500.03028731785247,453.6120404259612,46.4182468798813,60.0,13.57,814.0,814.0
100081000100,0.0787576261785912,0.431226765799257,0.463045414069457,39428.0,16.1648351648352,0.465553235908142,2016-2017,DE,19956,Regular School,High,No,1.0,499.6992284876583,453.55619887967845,46.143029604743774,38.2000007629395,17.57,671.0,671.0
100108000111,0.0931768158473955,0.303550295857988,0.689839572192513,37917.0,17.2905982905983,0.354623450905624,2016-2017,DE,19963,Regular School,High,No,1.0,502.1318626389725,455.7654307905675,46.36643183155737,71.0,15.8,1122.0,1122.0
100124000242,0.0617283950617284,0.856205250596659,0.96078431372549,105708.0,17.969474969475,0.299447513812155,2016-2017,DE,19803,Regular School,High,No,1.0,496.1363212833182,451.43777592395924,44.69854537236586,63.5,14.8,940.0,940.0
100124000246,0.0339188370684434,0.788472964943553,0.692429022082019,102383.0,18.3137973137973,0.283914728682171,2016-2017,DE,19809,Regular School,High,No,0.0,496.2900430205737,452.818720518304,43.47132252193232,70.6999969482422,15.25,1078.0,1078.0
100124000247,0.0657681940700809,0.719058823529412,0.710382513661202,86429.0,18.970695970696,0.165605095541401,2016-2017,DE,19810,Regular School,High,No,0.0,495.9856895688382,450.16646098595,45.81922859536955,76.0,13.84,1052.0,1052.0
100130000274,0.0820209973753281,0.826745718050066,0.66328125,95065.0,15.5714285714286,0.447880870561283,2016-2017,DE,19808,Regular School,High,No,0.0,497.47008155361186,452.234315886686,45.23576568516913,67.0,13.6,911.0,911.0
100130000276,0.0280373831775701,0.811893203883495,0.835630965005302,151750.0,18.7704517704518,0.302702702702703,2016-2017,DE,19807,Regular School,High,No,0.0,491.56735476524665,446.28335073472925,45.28400407283991,51.0,14.06,717.0,717.0
100153000158,0.075028636884307,0.533549783549784,0.63972602739726,57929.0,15.6153846153846,0.533715925394548,2016-2017,DE,19973,Regular School,High,No,1.0,500.6549030565461,454.76672275902445,45.888180296238694,51.5,15.48,797.0,797.0
